scale,schema,query,seconds,correct,runs
3000,flat,Q02,0.00084745,True,9.670e-04;8.852e-04;8.518e-04;8.475e-04;8.568e-04
3000,mid,Q02,0.00114365,True,1.214e-03;1.189e-03;1.200e-03;1.144e-03;1.146e-03
3000,normalized,Q02,0.004138350000000001,True,4.231e-03;4.138e-03;4.164e-03;4.147e-03;4.293e-03
3000,flat,Q11,0.00046765,True,5.666e-04;5.078e-04;4.929e-04;4.826e-04;4.677e-04
3000,mid,Q11,0.0005639999999999999,True,6.329e-04;5.640e-04;5.664e-04;6.016e-04;5.816e-04
3000,normalized,Q11,0.0020269000000000003,True,2.030e-03;2.027e-03;2.057e-03;2.040e-03;2.067e-03
3000,flat,Q13,0.0008042500000000001,True,9.325e-04;8.059e-04;8.057e-04;8.130e-04;8.043e-04
3000,mid,Q13,0.00077205,True,8.460e-04;7.721e-04;7.870e-04;7.953e-04;7.798e-04
3000,normalized,Q13,0.00140225,True,1.608e-03;1.461e-03;1.458e-03;1.436e-03;1.402e-03
3000,flat,Q17,0.0029235500000000005,True,2.986e-03;2.924e-03;2.931e-03;2.928e-03;2.943e-03
3000,mid,Q17,0.0024030999999999996,True,2.437e-03;2.410e-03;2.405e-03;2.412e-03;2.403e-03
3000,normalized,Q17,0.006801,True,6.889e-03;6.856e-03;6.801e-03;6.894e-03;6.853e-03
3000,flat,Q18,0.0021061499999999998,True,2.149e-03;2.119e-03;2.110e-03;2.106e-03;2.155e-03
3000,mid,Q18,0.00074075,True,8.088e-04;8.452e-04;7.407e-04;7.954e-04;7.721e-04
3000,normalized,Q18,0.00113135,True,1.131e-03;1.219e-03;1.204e-03;1.133e-03;1.200e-03
3000,flat,Q19,0.0002824,True,2.990e-04;3.142e-04;2.875e-04;2.941e-04;2.824e-04
3000,mid,Q19,0.0011914500000000001,True,1.315e-03;1.265e-03;1.226e-03;1.191e-03;1.242e-03
3000,normalized,Q19,0.0020658000000000004,True,2.208e-03;2.236e-03;2.066e-03;2.309e-03;2.159e-03
